Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
8348.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8388.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8428.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8468.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8508.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8547.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8587.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8627.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8667.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8707.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8748.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8787.810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8827.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8867.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8907.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8947.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8987.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9027.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9068.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9108.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9147.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9188.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9228.090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9268.090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9307.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9347.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9387.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9427.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9467.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9507.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9547.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9587.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9627.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9667.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9707.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9747.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9787.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9827.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9867.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9907.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9947.280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9987.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10107.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10147.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10187.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10227.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10267.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10306.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10346.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10386.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10427.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10466.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10507.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10546.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10586.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10626.830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10666.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10707.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10746.770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10786.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10826.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10867.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10906.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10947.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10986.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11027.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11066.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11147.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11186.530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11226.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11266.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11306.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11346.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11386.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11426.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11466.370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11506.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11546.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11586.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11626.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11666.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11706.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11746.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11786.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11826.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11866.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11906.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11946.110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11986.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12026.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12066.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12106.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12146.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12186.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12226.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12266.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
