Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
204.074,14410,-7953,26,95
204.561,14407,-8000,26,95
205.082,14410,-7990,26,95
205.568,14403,-7984,26,94
206.077,14403,-7950,26,94
206.582,14410,-7975,26,95
207.042,14407,-7965,26,95
207.548,14410,-7993,26,95
208.077,14410,-7965,26,95
208.546,14407,-7950,26,95
209.057,14407,-7968,26,95
209.600,14403,-8028,26,94
210.046,14403,-7968,26,94
210.566,14403,-7946,26,94
211.082,14410,-7971,26,95
211.590,14410,-7971,26,95
212.067,14410,-7946,26,95
212.597,14407,-7940,26,95
213.076,14407,-8009,26,95
213.607,14403,-7990,26,94
214.036,14403,-7928,26,94
214.568,14407,-8000,26,94
215.074,14407,-7956,26,94
215.589,14403,-8006,26,94
216.092,14403,-7993,26,94
216.552,14407,-7950,26,94
217.074,14403,-7987,26,94
217.576,14403,-7987,26,94
218.065,14403,-7978,26,94
218.544,14403,-7993,26,94
219.077,14403,-7987,26,94
219.573,14403,-7984,26,94
220.042,14403,-7940,26,94
220.590,14407,-7959,26,94
221.081,14400,-7950,26,94
221.557,14403,-7940,26,94
222.107,14410,-7956,26,95
222.573,14400,-7990,26,94
223.086,14403,-7984,26,94
223.557,14407,-7959,26,94
224.042,14400,-7987,26,94
224.604,14400,-7993,26,94
225.079,14403,-7996,26,94
225.601,14403,-8000,26,94
226.054,14396,-7959,26,94
226.573,14400,-8025,26,94
227.076,14400,-7956,26,94
227.601,14400,-7909,26,94
228.045,14396,-7928,26,94
228.608,14400,-7956,26,94
229.072,14396,-7946,26,94
229.631,14407,-7987,26,94
230.085,14400,-7984,26,94
230.545,14396,-7971,26,94
231.055,14400,-7993,26,94
231.558,14400,-7971,26,94
232.102,14396,-7971,26,94
232.569,14400,-7978,26,94
233.116,14396,-7953,26,94
233.576,14396,-7946,26,94
234.105,14392,-7996,26,94
234.600,14400,-7975,26,94
235.112,14400,-7971,26,94
235.596,14396,-7987,26,94
236.054,14392,-7971,26,94
236.581,14400,-7946,26,94
237.078,14396,-7965,26,94
237.596,14400,-8006,26,94
238.100,14396,-7984,26,94
238.576,14396,-7931,26,94
239.110,14400,-7937,26,94
239.618,14400,-7990,26,94
240.087,14396,-7978,26,94
240.593,14396,-7940,26,94
241.077,14400,-7996,26,94
241.567,14396,-8006,26,94
242.104,14392,-7975,26,94
242.564,14392,-7968,26,94
243.094,14392,-7971,26,94
243.549,14400,-7946,26,94
244.136,14400,-7950,26,94
244.570,14396,-7987,26,94
245.100,14396,-8006,26,94
245.604,14392,-7956,26,94
246.105,14392,-7984,26,94
246.607,14392,-7975,26,94
247.056,14400,-7953,26,94
247.599,14396,-7937,26,94
248.064,14389,-7971,26,94
248.606,14392,-7990,26,94
249.138,14389,-7987,26,94
249.601,14400,-7975,26,94
250.086,14392,-7971,26,94
250.582,14396,-7987,26,94
251.102,14389,-7975,26,94
251.584,14389,-7950,26,94
252.102,14392,-7953,26,94
252.605,14389,-7984,26,94
253.136,14392,-7946,26,94
253.578,14392,-7975,26,94
254.094,14396,-7937,26,94
254.588,14396,-7959,26,94
255.086,14392,-7993,26,94
255.642,14396,-8015,26,94
256.113,14396,-7950,26,94
256.579,14385,-7959,26,94
257.105,14392,-7953,26,94
257.584,14392,-7968,26,94
258.067,14392,-7965,26,94
258.570,14389,-7965,26,94
259.109,14396,-7953,26,94
259.589,14392,-7984,26,94
260.118,14392,-7990,26,94
260.616,14389,-7978,26,94
261.097,14392,-7965,26,94
261.589,14389,-8037,26,94
262.068,14392,-7971,26,94
262.632,14389,-8012,26,94
263.086,14392,-7968,26,94
263.568,14389,-7956,26,94
264.090,14389,-7978,26,94
264.571,14392,-7987,26,94
265.090,14385,-7956,26,94
265.601,14389,-7934,26,94
