Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
243.232,12632,65515,26,17
243.752,12632,65515,26,20
244.336,12632,65515,26,17
244.824,12632,65515,26,19
245.256,12632,65515,26,21
245.791,12920,24937,26,23
246.248,12920,24937,26,21
246.813,12920,24937,26,23
247.228,12920,24937,26,20
247.735,12920,24937,26,24
248.307,12920,24937,26,19
248.799,12920,24937,26,25
249.358,12920,24937,26,18
249.850,12920,24937,26,27
250.244,12920,24937,26,16
250.757,12920,24937,26,29
251.260,12942,24928,26,13
251.755,12952,24934,26,33
252.267,12945,24925,26,13
252.835,12949,24959,26,34
253.232,12945,24931,26,13
253.727,12952,24950,26,34
254.285,12956,24937,26,13
254.824,12949,23928,26,33
255.253,12949,23903,26,13
255.771,12945,23940,26,33
256.242,12945,23953,26,13
256.812,12949,23968,26,33
257.256,12952,23968,26,13
257.781,12952,23900,26,33
258.343,12949,23950,26,13
258.816,12956,23950,26,34
259.335,12945,23959,26,13
259.733,12949,23950,26,33
260.291,12949,23915,26,13
260.936,12952,23909,26,34
261.339,12956,23934,26,13
261.786,12963,23931,26,34
262.284,12956,23931,26,13
262.812,12960,23962,26,34
263.275,12956,23931,26,13
263.723,12963,23959,26,34
264.256,12960,23918,26,13
264.774,12960,23934,26,34
265.334,12963,23956,26,13
265.772,12963,23900,26,34
266.387,12960,23959,26,13
266.732,12967,23896,26,34
267.371,12963,23912,26,13
267.793,12970,23946,26,34
268.251,12967,23959,26,13
268.759,12967,23940,26,34
269.247,12970,23962,26,13
269.760,12967,23934,26,34
270.272,12974,23918,26,13
270.767,12978,23968,26,34
271.257,12974,23921,26,13
271.746,12974,23921,26,34
272.225,12974,23953,26,13
272.755,12978,23903,26,34
273.224,12978,23921,26,13
273.754,12974,23962,26,34
274.287,12978,23937,26,13
274.739,12978,23950,26,34
275.259,12981,23931,26,13
275.727,12981,23959,26,34
276.299,12978,23934,26,13
276.827,12978,23934,26,34
277.226,12978,23937,26,13
277.728,12981,23918,26,34
278.223,12981,23950,26,13
278.730,12981,23931,26,34
279.211,12985,23931,26,13
279.727,12978,23921,26,34
280.213,12981,23950,26,13
280.796,12981,23931,26,34
281.276,12985,23912,26,13
281.712,12985,23959,26,34
282.211,12988,23931,26,13
282.740,12988,23950,26,34
283.221,12981,23896,26,13
283.780,12985,23956,26,34
284.324,12992,23959,26,13
284.726,12988,23934,26,34
285.207,12988,23915,26,13
285.789,12985,23990,26,34
286.219,12985,23940,26,13
286.715,12988,23934,26,34
287.236,12988,23950,26,13
287.736,12996,23950,26,34
288.205,12988,23915,26,13
288.745,12988,23937,26,34
289.204,12996,23953,26,13
289.727,12992,23934,26,34
290.279,12988,23962,26,13
290.706,12996,23937,26,34
291.205,12988,23975,26,13
291.718,12992,23946,26,34
292.271,12999,23950,26,13
292.721,12996,23887,26,34
293.248,12996,23928,26,13
293.737,12999,23953,26,34
294.249,12999,23975,26,13
294.749,12999,23900,26,34
295.221,12996,23956,26,13
295.787,12996,23918,26,34
296.236,13003,23946,26,13
296.757,12999,23978,26,34
297.204,12999,23912,26,13
297.712,12999,23909,26,34
298.276,12999,23921,26,13
298.702,12996,23915,26,34
299.233,13003,23940,26,13
299.720,13003,23959,26,34
300.250,13003,23975,26,13
300.745,13003,23953,26,34
301.200,12999,23896,26,13
301.780,13006,23934,26,34
302.336,13003,23950,26,13
302.706,13003,23937,26,34
303.206,13010,23893,26,13
303.698,13006,23937,26,34
304.479,13003,23975,26,13
304.762,13006,23940,26,34
305.251,13006,23934,26,13
305.743,13006,23959,26,34
306.206,13006,23946,26,13
306.758,13006,23928,26,34
307.222,13003,23956,26,13
307.792,13006,23959,26,34
308.225,13010,23946,26,13
308.697,13006,23953,26,34
309.195,13003,23937,26,13
309.767,13010,23956,26,34
310.196,13017,23915,26,13
310.811,13010,23956,26,34
311.211,13010,23953,26,13
311.741,13014,23928,26,34
312.231,13006,23946,26,13
312.772,13014,23959,26,34
313.217,13010,23956,26,13
313.749,13014,23918,26,34
314.239,13014,23950,26,13
314.732,13014,23959,26,34
315.210,13014,23928,26,13
315.813,13017,23953,26,34
316.220,13017,23937,26,13
316.691,13010,24000,26,34
317.224,13014,23915,26,13
317.735,13014,23950,26,34
318.220,13014,23950,26,13
318.713,13017,23940,26,34
319.231,13017,23946,26,13
319.739,13021,23946,26,34
320.240,13017,23968,26,13
320.706,13017,23950,26,34
321.244,13014,23946,26,13
321.773,13021,23959,26,34
322.209,13024,23931,26,13
322.721,13021,23956,26,34
323.219,13024,23962,26,13
323.779,13024,23978,26,34
324.258,13021,23918,26,13
324.784,13017,23950,26,34
325.263,13021,23953,26,13
325.732,13024,23946,26,34
326.201,13024,23937,26,13
326.718,13024,23931,26,34
327.228,13028,23940,26,13
327.716,13028,23950,26,34
328.233,13024,23937,26,13
328.719,13024,23968,26,34
329.302,13021,23956,26,13
329.808,13028,23900,26,34
330.287,13028,23912,26,13
330.710,13028,23928,26,34
331.287,13032,23946,26,13
331.777,13024,23909,26,34
332.403,13024,23940,26,13
332.838,13024,23946,26,34
333.207,13028,23928,26,13
333.692,13028,23940,26,34
334.189,13028,23921,26,13
334.725,13028,23928,26,34
335.260,13024,23921,26,13
335.760,13028,23912,26,34
336.200,13035,23940,26,13
336.733,13028,23937,26,34
337.237,13032,23950,26,13
337.757,13032,23946,26,34
338.275,13032,23953,26,13
338.821,13035,23946,26,34
339.264,13032,23962,26,13
339.781,13035,23940,26,34
340.209,13024,23937,26,13
340.690,13032,23962,26,34
341.222,13035,23950,26,13
341.736,13035,23937,26,34
342.191,13032,23946,26,13
342.858,13035,23968,26,34
343.220,13035,23953,26,13
343.752,13035,23937,26,34
344.216,13035,23950,26,13
344.739,13032,23950,26,34
345.185,13035,23931,26,13
345.718,13032,23934,26,34
346.323,13035,23921,26,13
346.688,13035,23918,26,34
347.364,13035,23953,26,13
347.694,13032,23962,26,34
348.333,13042,23971,26,14
348.961,13039,23968,26,34
349.194,13035,23918,26,13
349.697,13035,23953,26,34
350.202,13042,23956,26,14
350.872,13042,23931,26,34
351.334,13042,23903,26,14
351.684,13035,23937,26,34
352.236,13042,23959,26,14
352.740,13042,23931,26,34
353.252,13039,23937,26,13
353.769,13046,23968,26,34
354.240,13046,23993,26,14
354.737,13042,23909,26,34
355.241,13042,23959,26,14
355.706,13042,23950,26,34
356.182,13046,23978,26,14
356.784,13046,23903,26,34
357.260,13046,23953,26,14
357.726,13042,23950,26,34
358.272,13042,23931,26,14
358.781,13046,23890,26,34
359.225,13050,23978,26,14
359.684,13042,23968,26,34
360.211,13046,23937,26,14
360.705,13046,23912,26,34
361.196,13046,23950,26,14
361.686,13053,23937,26,34
362.271,13042,23912,26,14
362.685,13050,23950,26,34
363.437,13053,23928,26,14
363.675,13050,23921,26,34
364.203,13046,23971,26,14
364.727,13053,23931,26,34
365.201,13042,23946,26,14
365.725,13053,23940,26,35
366.244,13050,23928,26,14
366.747,13046,23962,26,34
367.172,13046,23934,26,14
